Date,Open,High,Low,Close,Adj Close,Volume
2020-03-13,9.490000,9.490000,9.490000,9.490000,9.144676,0
2020-03-16,8.340000,8.340000,8.340000,8.340000,8.036523,0
2020-03-17,8.840000,8.840000,8.840000,8.840000,8.518329,0
2020-03-18,8.370000,8.370000,8.370000,8.370000,8.065431,0
2020-03-19,8.430000,8.430000,8.430000,8.430000,8.123248,0
2020-03-20,8.070000,8.070000,8.070000,8.070000,7.776347,0
2020-03-23,7.850000,7.850000,7.850000,7.850000,7.564353,0
2020-03-24,8.580000,8.580000,8.580000,8.580000,8.267789,0
2020-03-25,8.680000,8.680000,8.680000,8.680000,8.364151,0
2020-03-26,9.230000,9.230000,9.230000,9.230000,8.894136,0
2020-03-27,8.920000,8.920000,8.920000,8.920000,8.595417,0
2020-03-30,9.220000,9.220000,9.220000,9.220000,8.884501,0
2020-03-31,9.070000,9.070000,9.070000,9.070000,8.739959,0
2020-04-01,8.670000,8.670000,8.670000,8.670000,8.354515,0
2020-04-02,8.870000,8.870000,8.870000,8.870000,8.547237,0
2020-04-03,8.730000,8.730000,8.730000,8.730000,8.412331,0
2020-04-06,9.350000,9.350000,9.350000,9.350000,9.009770,0
2020-04-07,9.330000,9.330000,9.330000,9.330000,8.990499,0
2020-04-08,9.650000,9.650000,9.650000,9.650000,9.298855,0
2020-04-09,9.790000,9.790000,9.790000,9.790000,9.433759,0
2020-04-13,9.700000,9.700000,9.700000,9.700000,9.347034,0
2020-04-14,10.000000,10.000000,10.000000,10.000000,9.636119,0
2020-04-15,9.790000,9.790000,9.790000,9.790000,9.433759,0
2020-04-16,9.850000,9.850000,9.850000,9.850000,9.491576,0
2020-04-17,10.120000,10.120000,10.120000,10.120000,9.751752,0
2020-04-20,9.940000,9.940000,9.940000,9.940000,9.578300,0
2020-04-21,9.630000,9.630000,9.630000,9.630000,9.279581,0
2020-04-22,9.860000,9.860000,9.860000,9.860000,9.501212,0
2020-04-23,9.850000,9.850000,9.850000,9.850000,9.491576,0
2020-04-24,9.990000,9.990000,9.990000,9.990000,9.626482,0
2020-04-27,10.140000,10.140000,10.140000,10.140000,9.771024,0
2020-04-28,10.080000,10.080000,10.080000,10.080000,9.713207,0
2020-04-29,10.350000,10.350000,10.350000,10.350000,9.973383,0
2020-04-30,10.250000,10.250000,10.250000,10.250000,9.877021,0
2020-05-01,9.960000,9.960000,9.960000,9.960000,9.597573,0
2020-05-04,10.010000,10.010000,10.010000,10.010000,9.645754,0
2020-05-05,10.110000,10.110000,10.110000,10.110000,9.742115,0
2020-05-06,10.040000,10.040000,10.040000,10.040000,9.674663,0
2020-05-07,10.170000,10.170000,10.170000,10.170000,9.799932,0
2020-05-08,10.340000,10.340000,10.340000,10.340000,9.963747,0
2020-05-11,10.350000,10.350000,10.350000,10.350000,9.973383,0
2020-05-12,10.140000,10.140000,10.140000,10.140000,9.771024,0
